Anchor_O_X,Anchor_O_Y,SPEED,Connector_A_X,Connector_A_Y,SPEED,Anchor_Q_X,Anchor_Q_Y,SPEED,Connector_B_X,Connector_B_Y,SPEED
0,0,0,73.59174502,94.78531038,37.69893959,0,85,0,-58.36132835,166.118237,84.41509152
0,0,0,72.59513863,95.55075011,37.69893959,0,85,0,-60.66574061,164.4095772,86.06306422
0,0,0,71.59057137,96.30571162,37.69893959,0,85,0,-62.96489849,162.5991919,87.79099912
0,0,0,70.57815339,97.05011212,37.69893959,0,85,0,-65.25587371,160.6827852,89.60504405
0,0,0,69.55799572,97.78386999,37.69893959,0,85,0,-67.53542527,158.6558169,91.51207729
0,0,0,68.53021024,98.50690475,37.69893959,0,85,0,-69.7999636,156.513482,93.51983375
0,0,0,67.49490964,99.21913713,37.69893959,0,85,0,-72.04550945,154.2506866,95.6370601
0,0,0,66.45220747,99.920489,37.69893959,0,85,0,-74.26764687,151.8620195,97.87370727
0,0,0,65.40221806,100.6108835,37.69893959,0,85,0,-76.46146884,149.3417191,100.2411715
0,0,0,64.34505657,101.2902448,37.69893959,0,85,0,-78.62151412,146.6836327,102.7525994
0,0,0,63.28083891,101.9584985,37.69893959,0,85,0,-80.74169312,143.8811686,105.4232778
0,0,0,62.2096818,102.6155714,37.69893959,0,85,0,-82.81520027,140.9272352,108.2711386
0,0,0,61.13170269,103.2613913,37.69893959,0,85,0,-84.83440917,137.8141652,111.3174201
0,0,0,60.0470198,103.8958874,37.69893959,0,85,0,-86.79074556,134.53362,114.5875475
0,0,0,58.95575208,104.5189901,37.69893959,0,85,0,-88.67453137,131.0764638,118.1123213
0,0,0,57.8580192,105.1306312,37.69893959,0,85,0,-90.47478988,127.4325986,121.9295519
0,0,0,56.75394154,105.7307435,37.69893959,0,85,0,-92.17899791,123.5907421,126.0863517
0,0,0,55.64364016,106.3192612,37.69893959,0,85,0,-93.77276369,119.5381212,130.6424225
0,0,0,54.52723683,106.8961199,37.69893959,0,85,0,-95.23939763,115.2600424,135.6748912
0,0,0,53.40485398,107.4612561,37.69893959,0,85,0,-96.55932383,110.7392698,141.2856367
0,0,0,52.27661468,108.0146081,37.69893959,0,85,0,-97.70924609,105.955101,147.612781
0,0,0,51.14382114,108.5555598,37.65985871,0,85,0,-98.66004643,100.8873618,154.684845
0,0,0,52.27778728,108.0140406,37.69893959,0,85,0,-97.70815126,105.9602053,154.8414042
0,0,0,53.40602057,107.4606764,37.69893959,0,85,0,-96.55803913,110.7440888,147.6057903
0,0,0,54.52839729,106.8955279,37.69893959,0,85,0,-95.23794952,115.2645998,141.2794771
0,0,0,55.64479435,106.3186572,37.69893959,0,85,0,-93.77117421,119.5424365,135.6693951
0,0,0,56.75508934,105.7301274,37.69893959,0,85,0,-92.17728573,123.5948316,130.6374679
0,0,0,57.85916049,105.1300031,37.69893959,0,85,0,-90.47297103,127.4364765,126.0818473
0,0,0,58.95688673,104.5183501,37.69893959,0,85,0,-88.67261974,131.0801425,121.9254279
0,0,0,60.04814769,103.8952355,37.69893959,0,85,0,-86.78875328,134.5371107,118.1085231
0,0,0,61.13282369,103.2607276,37.69893959,0,85,0,-84.83234691,137.8174777,114.5840315
0,0,0,62.21079578,102.614896,37.69893959,0,85,0,-82.81307746,140.9303784,111.314151
0,0,0,63.28194576,101.9578116,37.69893959,0,85,0,-80.73951812,143.884151,108.2680875
0,0,0,64.34615617,101.2895463,37.69893959,0,85,0,-78.61929441,146.6864618,105.4204209
0,0,0,65.40331029,100.6101735,37.69893959,0,85,0,-76.45921108,149.344402,102.7499163
0,0,0,66.4532922,99.91976759,37.69893959,0,85,0,-74.26535702,151.8645629,100.2386452
0,0,0,67.49598676,99.2184044,37.69893959,0,85,0,-72.04319289,154.2530966,97.87132298
0,0,0,68.53127962,98.50616079,37.69893959,0,85,0,-69.79762514,156.5157644,95.63480524
0,0,0,69.55905726,97.78311487,37.69893959,0,85,0,-67.53306926,158.6579771,93.5176973
0,0,0,70.57920696,97.04934593,37.69893959,0,85,0,-65.25350405,160.6848283,91.51004959
0,0,0,71.59161685,96.30493443,37.69893959,0,85,0,-62.96251874,162.6011228,89.6031166
0,0,0,72.59617592,95.54996201,37.69893959,0,85,0,-60.66335394,164.4114004,87.78916436
0,0,0,73.592774,94.78451147,37.69893959,0,85,0,-58.35893766,166.119957,86.06131542
0,0,0,74.58130181,94.00866673,37.69893959,0,85,0,-56.05191686,167.7308627,84.41342265
0,0,0,75.56165093,93.22251288,37.69893959,0,85,0,-53.74468551,169.2479781,82.8399659
0,0,0,76.53371387,92.42613614,37.69893959,0,85,0,-51.43940934,170.6749683,81.33596658
0,0,0,77.49738402,91.61962383,37.69893959,0,85,0,-49.13804795,172.0153163,79.89691668
0,0,0,78.45255571,90.80306439,37.69893959,0,85,0,-46.84237453,173.2723342,78.51871925
0,0,0,79.39912419,89.97654737,37.69893959,0,85,0,-44.5539935,174.4491738,77.19763831
0,0,0,80.33698567,89.14016341,37.69893959,0,85,0,-42.27435631,175.5488367,75.93025628
0,0,0,81.26603729,88.29400423,37.69893959,0,85,0,-40.00477567,176.5741828,74.71343781
0,0,0,82.18617717,87.43816262,37.69893959,0,85,0,-37.74643834,177.5279386,73.54429866
0,0,0,83.09730441,86.57273242,37.69893959,0,85,0,-35.50041668,178.4127049,72.42017896
0,0,0,83.9993191,85.69780855,37.69893959,0,85,0,-33.26767901,179.2309639,71.33862003
0,0,0,84.89212231,84.81348695,37.69893959,0,85,0,-31.0490991,179.9850855,70.29734421
0,0,0,85.77561615,83.9198646,37.69893959,0,85,0,-28.84546462,180.6773338,69.29423726
